eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,count
201702260047,2017,2,26,,0,,4,Afghanistan,6,South Asia,Jawzjan,Darzab district,36.001646,65.362895,1414
201702270027,2017,2,27,,0,,4,Afghanistan,6,South Asia,Jawzjan,Qush Tepa district,36.209722,65.363333,1414
201702270028,2017,2,27,,0,,4,Afghanistan,6,South Asia,Zabul,Tarnak Wa Jaldak district,31.803333,66.323611,1414
201702270057,2017,2,26,,0,,4,Afghanistan,6,South Asia,Samangan,Aybak district,36.265677,68.0174,1414
201702280001,2017,2,28,,0,,4,Afghanistan,6,South Asia,Helmand,Lashkar Gah,31.60063,64.369652,1414
201702280002,2017,2,28,,0,,4,Afghanistan,6,South Asia,Helmand,Nahri Saraj district,31.820417,64.590056,1414
201702280003,2017,2,28,,1,,4,Afghanistan,6,South Asia,Baghlan,Tala Wa Barfak district,35.264273,68.620107,1414
201702280004,2017,2,28,,0,,4,Afghanistan,6,South Asia,Baghlan,Baghlani Jadid district,36.332451,68.763192,1414
201702280017,2017,2,28,,0,,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,34.417122,70.449593,1414
201702280018,2017,2,28,,0,,4,Afghanistan,6,South Asia,Baghlan,Dushi district,35.580172,68.639227,1414
201702280019,2017,2,28,,0,,4,Afghanistan,6,South Asia,Baghlan,Dushi district,35.581872,68.649852,1414
201702280020,2017,2,28,2017-02-28 00:00:00,0,,4,Afghanistan,6,South Asia,Faryab,Kanjak,35.649155,64.266974,1414
201702280041,2017,2,28,,0,,4,Afghanistan,6,South Asia,Farah,Khaki Safed district,32.677851,61.981391,1414
201702280042,2017,2,28,,0,,4,Afghanistan,6,South Asia,Badghis,Qala-i-Naw,34.990047,63.132542,1414
201703010003,2017,3,1,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1414
201703010004,2017,3,1,,0,,4,Afghanistan,6,South Asia,Kabul,Arzan Qimat,34.513279,69.32814,1414
201703010007,2017,2,28,,0,,4,Afghanistan,6,South Asia,Nangarhar,Bihsud district,34.453813,70.484844,1414
201703010018,2017,3,1,,0,,4,Afghanistan,6,South Asia,Faryab,Shekhano,36.535939,65.071353,1414
201703010027,2017,3,1,,1,,4,Afghanistan,6,South Asia,Laghman,Maydani,34.704444,70.239444,1414
201703010028,2017,3,1,,1,,4,Afghanistan,6,South Asia,Laghman,Katal,34.711389,70.251944,1414
